,a_District,a_type,a_hour,a_weat
0,24,2,6,10
1,0,1,11,1
2,2,2,4,1
3,14,2,9,1
4,7,2,15,10
5,24,1,15,10
6,7,2,18,2
7,24,2,18,10
8,32,2,15,2
9,30,2,19,1
10,2,2,1,3
11,36,2,10,1
12,7,2,16,1
13,0,2,19,1
14,7,2,18,1
15,7,2,19,1
16,36,2,17,2
17,29,1,11,5
18,7,2,20,6
19,7,2,13,1
20,24,2,20,3
21,36,2,15,1
22,21,2,11,1
23,5,2,12,10
24,32,2,10,1
25,32,2,17,2
26,7,2,6,1
27,24,2,16,2
28,2,2,17,1
29,14,2,17,1
30,14,2,16,1
31,5,2,7,1
32,21,2,16,1
33,32,2,21,1
34,0,2,16,1
35,30,2,13,1
36,7,2,19,1
37,24,2,20,1
38,7,2,7,1
39,0,2,12,3
40,7,2,11,1
41,30,2,10,1
42,36,2,18,6
43,36,2,11,1
44,30,2,8,1
45,7,2,15,1
46,36,2,6,10
47,5,2,0,1
48,32,2,17,1
49,29,2,7,1
50,24,2,23,1
51,36,2,13,1
52,5,1,16,1
53,30,1,20,1
54,2,2,20,1
55,7,2,19,1
56,36,2,21,1
57,2,2,6,1
58,30,2,19,1
59,0,2,3,1
60,5,2,18,1
61,24,2,23,10
62,2,2,9,4
63,2,2,21,2
64,36,2,10,1
65,30,2,11,2
66,29,2,16,1
67,29,2,18,1
68,2,2,6,1
69,7,2,18,1
70,36,2,13,1
71,32,2,17,1
72,2,1,18,1
73,14,2,19,2
74,29,2,2,1
75,21,2,15,2
76,0,2,20,1
77,36,2,22,1
78,14,2,16,1
79,21,1,17,1
80,24,2,21,3
81,32,2,17,2
82,7,2,8,1
83,14,2,8,1
84,32,2,6,9
85,2,2,7,9
86,21,2,15,10
87,36,2,18,1
88,30,2,8,1
89,2,1,7,6
90,7,2,7,3
91,36,2,18,9
92,30,2,23,1
93,14,2,18,3
94,7,2,19,1
95,32,2,6,10
96,21,2,19,1
97,14,2,9,4
98,5,2,17,1
99,29,2,13,1
100,24,2,17,9
101,7,2,2,1
102,14,2,10,1
103,32,2,19,10
104,0,2,8,5
105,2,2,13,1
106,36,2,16,1
107,7,2,21,1
108,36,2,12,1
109,0,2,15,1
110,2,2,2,1
111,2,2,8,5
112,36,2,7,1
113,2,2,7,1
114,24,2,17,1
115,32,2,19,1
116,32,2,22,1
117,7,2,23,1
118,36,2,23,1
119,36,2,8,1
120,2,2,11,1
121,24,2,19,1
122,32,2,21,1
123,32,2,22,1
124,5,1,22,1
125,32,2,21,9
126,0,2,7,7
127,24,1,7,7
128,0,2,9,7
129,36,2,15,1
130,7,2,18,1
131,21,2,17,1
132,7,2,22,1
133,0,2,8,1
134,36,2,15,1
135,32,2,16,2
